id,catalog_number,description
2501571,UKP209N2,FYH UKP209N2 ND TB PB ADA WITH 90 DEG. ZERK
2501570,UKP209L3,FYH UKP209L3 40MM N/D UNIT + L3 SEALS
2501569,UKP209H309S,FYH UKP209H309S 1 5/8in ND TB PB ADA WITH H309S
2501568,UKP209H309A,FYH UKP209H309A 1 7/16in UKP UNIT
2501567,UKP209H309,FYH UKP209H309 40MM ND TB PB ADA WITH H309
2501566,UKP209H2309,FYH UKP209H2309 ND TB PB + H 2309 (40MM) ADAPTER
2501565,UKP209E3E3,FYH UKP209E3E3 40MM NDTB(ADAPTOR)GROOVED FOR CAST IRON
2501564,UKP209E3,FYH UKP209E3 40MM NDTB(ADAPTOR)GROOVED FOR CAST IRON
2501563,UKP209E1NPT,FYH UKP209E1NPT 40MM ND TB GROOVED W/ NOT THREADS
2501562,UKP209E1E1,FYH UKP209E1E1 UKP 209 MACHINED FOR COVER BOTH SIDES
2501561,UKP209E1,FYH UKP209E1 UKP 209 MACHINESD FOR COVERS
2501560,UKP209CD,FYH UKP209CD UKP 209 UIT w/ 2 COVERS
2501559,UKP209B10N2,FYH UKP209B10N2 90 DEGREE FITTING AT 90 DEGREES
2501558,UKP208N2,FYH UKP208N2 UKP 208 WITH 90 DEGREE GREASE FITTING
2501557,UKP208H308S,FYH UKP208H308S 1 3/8in ND TB PB WITH H308S
2501556,UKP208E1,FYH UKP208E1 35MM ND TB PB GROOVED FOR COVER
2501555,UKP207NP,FYH UKP207NP NDTBPB (ADAPTOR) 1 1/8 1 3/16 30MM NICKL
2501554,UKP207N2H307S,FYH UKP207N2H307S ND TB PB ADA WITH 90 DEG. ZERK + H307S
2501553,UKP207N2,FYH UKP207N2 ND TB PB ADA WITH 90 DEG. ZERK
2501552,UKP207L3E1E1,FYH UKP207L3E1E1 30MM N/D UNIT + L3 SEALS
2501551,UKP207L3CC,FYH UKP207L3CC 30MM N/D UNIT + L3 SEALS
2501550,UKP207L3,FYH UKP207L3 30MM N/D UNIT + L3 SEALS
2501549,UKP207H307S,FYH UKP207H307S 1-1/8 PB UNIT W/ ADAPTER
2501548,UKP207H307A,FYH UKP207H307A 1 3/16in UKP UNIT
2501547,UKP207E3,FYH UKP207E3 TB PB (1 1/8 1 3/16 30MM) MACHINE/TAP FOR COVER
2501546,UKP207E1E1,FYH UKP207E1E1 TAPERED-BORE PB MACHINED FOR COVERS
2501545,UKP207E1,FYH UKP207E1 TAPERED-BORE PB MACHINED FOR COVER
