id,catalog_number
1318117,7708470
1318116,7706804
1318115,7706765
1318114,7701354
1277807,8.32E+09
624039,W8180125
237552,W5205013.00
237551,W5205012.00
237550,W5205004.00
237549,W5205003.00
237548,W5185006.00
237547,W5185001.00
236297,WF6600006.00
236293,WF6380076.00
236292,WF6380069.00
236279,W8605025.00
236277,W8605023.00
236276,W8605022.00
236275,W8605019.00
236273,W8605013.48
236272,W8605005.00
236212,W8600517.55
236211,W8600512.55
236210,W8600511.55
236209,W8600510.55
236208,W8600509.55
236207,W8600508.55
236206,W8600507.55
236205,W8600506.55
236204,W8600505.55
236203,W8600504.55
236202,W8600503.55
236201,W8600502.55
236200,W8600501.55
236003,W8525096.00
236002,W8525093.00
236001,W8525092.00
235998,W8525086.00
235997,W8525085.00
235996,W8525082.00
235994,W8525076.00
235993,W8525073.00
235992,W8525071.00
235991,W8525070.00
235990,W8525062.32
235986,W8525054.00
235985,W8525034.00
235984,W8525033.00
235983,W8525032.00
235982,W8525031.00
235980,W8525027.00
235979,W8525025.32
235978,W8525022.00
235976,W8525016.00
235925,W8520624.55
235924,W8520623.55
230427,GR8180538.16
228814,W5349003.00
228813,W5349002.00
228812,W5349001.00
228451,W5200187-970.620
228309,W5185039.00
228308,W5185033.00
228108,W5120025.00
224285,G175218.00
221408,040937-KIT
221403,40932
221387,G185561.00
221386,G185560.00
221385,G185188.00
221384,G185187.00
221383,G185186.00
221382,G185185.00
221381,G185184.00
221380,G185183.00
221379,G185182.00
221378,G185181.00
221377,G185180.00
221376,G185174.00
221375,G185173.00
221374,G185172.00
221373,G185171.00
221372,G185170.00
221371,G185169.00
221370,G185168.00
221369,G185167.00
221368,G185166.00
221367,G185165.00
221366,G185164.00
221365,G185163.00
221364,G185162.00
221363,G185161.00
221362,G185153.00
221361,G185152.00
221360,G185150.00
221359,G185149.00
221358,G185148.00
221357,G185147.00
221356,G185146.00
221355,G185145.00
221354,G185144.00
221353,G185143.00
221352,G185142.00
221351,G185141.00
221350,G185140.00
